review,clean_text,sentiment
"One step forward, 3 steps back. The pop up ads are a bit much! Been playing this game a long time but the rewards don't really match the time put into the game .Unless you poor money into it.Not fun anymore.",one step forward step back pop ad bit much playing game long time reward really match time put game unless poor money fun anymore,positive
Billions of glitches!!🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,billion glitch face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth,neutral
Lovely and addicting game. When is the 1.6 update coming on mobile?,lovely addicting game update coming mobile,positive
Very entertaining and fun,entertaining fun,positive
it's blocks and it's a blast I love it,block blast love,positive
Super game pro free fire india எப்படி install பண்ணுவது எப்படி❓,super game pro free fire india எப்படி install பண்ணுவது red question mark,positive
"Re-downloaded the game recently, and the amount of adds is absurd. I understand the need for ads for revenue, but 4 adds within 1 level is too much. Maybe add better rewards for choosing to watch an ad to make ads worth it instead of a pity reward of only a few coins then forcing a 30 second add. Would not recommend unless disconnected from wifi",downloaded game recently amount add absurd understand need ad revenue add within level much maybe add better reward choosing watch ad make ad worth instead pity reward coin forcing second add would recommend unless disconnected wifi,positive
"Really fun game! The only bug i've encountered is some of the cutscenes not working, which you need to skip. Theres so much things to do in this game its addicting :0 although you'll eventually run out of things to do after year 3, but you can always make a new file and it'll feel the same as the first time you've played :D",really fun game bug encountered cutscenes working need skip much thing game addicting although eventually run thing year always make new file feel first time played,positive
"Don't install this. You'll have to watch 5 ads during the tutorial alone. It's forcing ads down your throat. Ads ads ads. That's all this game is. No idea if it's fun, I spent more time watching ads than I did playing. How pathetic, this game used to be fun",install watch ad tutorial alone forcing ad throat ad ad ad game idea fun spent time watching ad playing pathetic game used fun,positive
"i think that this game is perfect, the vibe, the lore of each character, meticulously thought out! I feel as if I was at the game, and it make me feel more comfortable. I just think that could have the multiplayer mode, mobile players unfortunately don't have this option, maybe in the future we wil try this, but please do it as soon as possible 🙏",think game perfect vibe lore character meticulously thought feel game make feel comfortable think could multiplayer mode mobile player unfortunately option maybe future wil try please soon possible folded hand,positive
"cool game BUT WHY DO YOU NEED MONEY FOR THESE PLANES!? AT LEAST MAKE THE 737, CONCORDE, 747, AND ALL CARGO PLANES!?",cool game need money plane least make concorde cargo plane,positive
Love it very fun and easy levels,love fun easy level,positive
not was was advertised,advertised,neutral
"The other players are not taking the game seriously and are ruining it, but I can't report them. Instead, I get reported for something that they should have been reported for. Why is that?",player taking game seriously ruining report instead get reported something reported,negative
"Totally worth it! Very immersive experience, and thoughtful gameplay. You will be hooked.",totally worth immersive experience thoughtful gameplay hooked,positive
I love indie games in general so I hope it will be a fun experience. I downloaded it yesterday❤,love indie game general hope fun experience downloaded yesterday red heart,positive
THE BEST THING HAPPENED BECAUZ OF ROBTOP,best thing happened becauz robtop,positive
Love it 💯✨,love hundred point sparkle,positive
"Super relaxing game. Take everything at your own pace. No time limits, once you spend a few days in game you start to learn how much you can do per day, or not, you can just go fishing instead. No in-game purchases or ads. This is my new favourite game to play in my phone.",super relaxing game take everything pace time limit spend day game start learn much per day go fishing instead game purchase ad new favourite game play phone,positive
Ads ads so many abss,ad ad many abs,neutral
Very good 👍,good thumb,positive
Its a 5 star but the landing physics are bad very very bad,star landing physic bad bad,negative
I love it 😍,love smiling face heart eye,positive
Thank you PLAYDEAD for the massive discount for this masterpiece.,thank playdead massive discount masterpiece,positive
Opps I forgot to play it but I will play it right now 😁☺️,opps forgot play play right beaming face smiling eye smiling face,positive
Goood game 🇧🇩,good game bangladesh,positive
Old school loved it keep brain working,old school loved keep brain working,positive
Ok,ok,positive
I love this game actually if you get jealous of something I play this all the time,love game actually get jealous something play time,positive
Great 👍,great thumb,positive
A lot of forced ads,lot forced ad,negative
which level last this game,level last game,negative
Amazing adventure Wonderful app,amazing adventure wonderful app,positive
Good game,good game,positive
Too many ads so annoying 😠,many ad annoying angry face,negative
"Please make at every beginning of flight both online and offline will begin at the hangar,both the pilot available in the offline mode please let the pro functions be available offline since we paid for it.and put highly detailed cities more graphics to the game, high detailed interior controls, passenger voice, pilot and co-pilot, waiter voice and also viewing and seeing what is happening in the passenger side, real plane visual joystick controller, and make at available in offline mode.",please make every beginning flight online offline begin hangar pilot available offline mode please let pro function available offline since paid put highly detailed city graphic game high detailed interior control passenger voice pilot co pilot waiter voice also viewing seeing happening passenger side real plane visual joystick controller make available offline mode,positive
😎 🆒️,smiling face sunglass cool button,positive
Very nice game! 👏,nice game clapping hand,positive
Hot gems,hot gem,positive
Okok,okok,neutral
Its so realistic and thank you RFS (creater of the game) its just...........so good,realistic thank rf creater game good,positive
"This game is truly very fun to play and I love it. Something that brings joy, I guess.",game truly fun play love something brings joy guess,positive
Love it,love,positive
"Please make controls better, and add multi-player. Maybe cheats or something else. Thank you. EDIT: Nothing good has been added. Still 1 star. EDIT2 Still nothing. EDIT3 Ive given up hope",please make control better add multi player maybe cheat something else thank edit nothing good added still star edit still nothing edit given hope,positive
💪💪💪💪 very special game,flexed biceps flexed biceps flexed biceps flexed biceps special game,positive
Good,good,positive
Old free fire,old free fire,positive
Vidkdkvk,vidkdkvk,neutral
phiên bản mới chơi 1 lúc vừa giật vừa nóng máy. máy samsung còn giật thì...,phiên bản mới chơi lúc vừa giật vừa nóng máy máy samsung còn giật thì,neutral
very good 👍,good thumb,positive
The game is a bit overwhelming in the beginning. There is a lot to this farm sim. -1* for being outdated on Andriod. -1* There are often times the character freezes and will not perform given tasks. Such as chopping down a tree or swinging a pickaxe at a rock. Good game. Expect minor bugs,game bit overwhelming beginning lot farm sim outdated andriod often time character freeze perform given task chopping tree swinging pickaxe rock good game expect minor bug,negative
Unbelievable game,unbelievable game,positive
Abslute cinema,abslute cinema,neutral
Mind Relax game,mind relax game,positive
khusbu gurung 123,khusbu gurung,neutral
Absolute trash,absolute trash,neutral
GG but can you add free pro just rating the app 5 star?,gg add free pro rating app star,positive
Tanbir,tanbir,neutral
Gd best game ever spent over 4 thousand hours on this game still havent got bored of it,gd best game ever spent thousand hour game still got bored,positive
